record_id,product,category,subcategory,state,data_type,generation_method,calibration_source,generated_at,dataset_version,labor_hours,raw_material_cost,packaging_cost,transport_cost,complexity,customization,actual_selling_price,craft,material,technique,region,size,direct_cost,market_reference_price,market_price_min,market_price_max,market_comparable_count
SIH-00001,Madhubani Painting,Painting,Folk Painting,Bihar,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,38.6,440,145,250,High,Moderate,9560,Madhubani,Paper,Hand Painting,East India,Large,835,7885.0,2690.0,19090.0,66.0
SIH-00002,Pashmina Shawl,Textiles,Shawl,Jammu and Kashmir,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,75.0,8090,400,440,High,High,35840,Pashmina,Pashmina Wool,Hand Embroidery,North India,Standard,8930,29505.0,12200.0,62560.0,256.0
SIH-00003,Kondapalli Doll,Toys,Wooden Toys,Andhra Pradesh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,8.2,290,25,60,Medium,Standard,1970,Kondapalli Toys,Soft Wood,Hand Painting,South India,Large,375,1905.0,980.0,2780.0,80.0
SIH-00004,Blue Pottery Plate,Tableware,Pottery,Rajasthan,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,2.7,250,35,45,Low,Standard,750,Blue Pottery,Ceramic,Glazing,West India,Medium,330,990.0,430.0,1880.0,243.0
SIH-00005,Thanjavur Painting,Painting,Traditional Painting,Tamil Nadu,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,39.0,3220,440,415,High,Moderate,21920,Thanjavur Painting,Wood,Gold Leaf Work,South India,Medium,4075,23200.0,11420.0,29970.0,81.0
SIH-00006,Sandalwood Carving,Home Decor,Wood Craft,Karnataka,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,26.9,2640,145,370,Medium,High,11560,Sandalwood Carving,Sandalwood,Wood Carving,South India,Small,3155,10220.0,4390.0,20120.0,81.0
SIH-00007,Kondapalli Doll,Toys,Wooden Toys,Andhra Pradesh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,9.6,670,70,100,High,Moderate,2780,Kondapalli Toys,Soft Wood,Hand Painting,South India,Large,840,1905.0,980.0,2750.0,80.0
SIH-00008,Pashmina Shawl,Textiles,Shawl,Jammu and Kashmir,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,87.4,4260,540,565,Medium,Standard,35850,Pashmina,Pashmina Wool,Hand Embroidery,North India,Standard,5365,29505.0,12200.0,62560.0,256.0
SIH-00009,Kalamkari Wall Art,Painting,Textile Painting,Andhra Pradesh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,7.7,420,30,50,Low,Moderate,2070,Kalamkari,Cotton,Block Printing,South India,Small,500,1760.0,840.0,3760.0,79.0
SIH-00010,Phulkari Dupatta,Textiles,Embroidery,Punjab,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,19.4,650,90,175,High,Light,6830,Phulkari,Cotton,Hand Embroidery,North India,Standard,915,8485.0,2560.0,14630.0,240.0
SIH-00011,Kutch Embroidery Bag,Fashion,Bags,Gujarat,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,22.9,260,60,95,Medium,High,6320,Kutch Embroidery,Cotton,Hand Embroidery,West India,Small,415,4240.0,1700.0,9000.0,72.0
SIH-00012,Pashmina Shawl,Textiles,Shawl,Jammu and Kashmir,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,138.3,7040,660,735,High,Moderate,62560,Pashmina,Pashmina Wool,Hand Embroidery,North India,Standard,8435,29505.0,12200.0,60380.0,256.0
