record_id,craft,material,technique,size,labor_hours,raw_material_cost,packaging_cost,transport_cost,complexity,customization,region,actual_selling_price
SIH-00001,Madhubani,Paper,Hand Painting,Large,38.6,440,145,250,High,Moderate,East India,9560
SIH-00002,Pashmina,Pashmina Wool,Hand Embroidery,Standard,75.0,8090,400,440,High,High,North India,35840
SIH-00003,Kondapalli Toys,Soft Wood,Hand Painting,Large,8.2,290,25,60,Medium,Standard,South India,1970
SIH-00004,Blue Pottery,Ceramic,Glazing,Medium,2.7,250,35,45,Low,Standard,West India,750
SIH-00005,Thanjavur Painting,Wood,Gold Leaf Work,Medium,39.0,3220,440,415,High,Moderate,South India,21920
SIH-00006,Sandalwood Carving,Sandalwood,Wood Carving,Small,26.9,2640,145,370,Medium,High,South India,11560
SIH-00007,Kondapalli Toys,Soft Wood,Hand Painting,Large,9.6,670,70,100,High,Moderate,South India,2780
SIH-00008,Pashmina,Pashmina Wool,Hand Embroidery,Standard,87.4,4260,540,565,Medium,Standard,North India,35850
SIH-00009,Kalamkari,Cotton,Block Printing,Small,7.7,420,30,50,Low,Moderate,South India,2070
SIH-00010,Phulkari,Cotton,Hand Embroidery,Standard,19.4,650,90,175,High,Light,North India,6830
SIH-00011,Kutch Embroidery,Cotton,Hand Embroidery,Small,22.9,260,60,95,Medium,High,West India,6320
SIH-00012,Pashmina,Pashmina Wool,Hand Embroidery,Standard,138.3,7040,660,735,High,Moderate,North India,62560
SIH-00013,Bastar Dhokra,Bell Metal,Lost Wax Casting,Medium,13.3,1910,135,195,Medium,Moderate,Central India,7190
SIH-00014,Pipili Applique,Cotton,Applique,Large,17.6,480,65,75,High,Light,East India,3370
SIH-00015,Sandalwood Carving,Sandalwood,Wood Carving,Small,28.3,1570,195,200,Low,Standard,South India,9180
SIH-00016,Dhokra,Brass,Lost Wax Casting,Large,19.2,1360,135,235,High,Light,Central India,5940
SIH-00017,Kalamkari,Cotton,Block Printing,Large,21.0,700,70,115,Medium,Light,South India,5370
SIH-00018,Sikki Craft,Sikki Grass,Hand Weaving,Small,5.5,80,30,25,Low,Standard,East India,950
SIH-00019,Pashmina,Pashmina Wool,Hand Embroidery,Standard,118.8,7720,305,545,High,High,North India,38500
SIH-00020,Sikki Craft,Sikki Grass,Hand Weaving,Medium,5.4,190,20,25,Low,Standard,East India,1070
SIH-00021,Pipili Applique,Cotton,Applique,Medium,8.2,330,20,45,Low,Standard,East India,1640
SIH-00022,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Medium,41.3,860,215,410,Medium,Light,North India,11520
SIH-00023,Madhubani,Paper,Hand Painting,Large,53.3,250,160,255,High,High,East India,13410
SIH-00024,Channapatna,Wood,Lac Turning,Medium,4.0,130,30,20,Low,Light,South India,1000
SIH-00025,Banarasi,Silk,Handloom Weaving,Standard,87.7,4890,355,565,Medium,Standard,North India,35990
SIH-00026,Blue Pottery,Ceramic,Glazing,Small,2.6,230,25,20,Low,Standard,West India,760
SIH-00027,Phulkari,Cotton,Hand Embroidery,Standard,25.3,790,145,135,Medium,Standard,North India,7190
SIH-00028,Kalamkari,Cotton,Block Printing,Large,23.5,740,70,150,High,Light,South India,5520
SIH-00029,Pipili Applique,Cotton,Applique,Large,11.3,280,20,50,Medium,Standard,East India,1920
SIH-00030,Pipili Applique,Cotton,Applique,Small,5.8,200,20,20,Low,Standard,East India,1090
SIH-00031,Pashmina,Pashmina Wool,Hand Embroidery,Standard,111.1,5710,725,525,High,Moderate,North India,44050
SIH-00032,Kondapalli Toys,Soft Wood,Hand Painting,Small,2.5,160,15,20,Low,Light,South India,700
SIH-00033,Madhubani,Paper,Hand Painting,Small,12.4,180,65,55,Low,Moderate,East India,3570
SIH-00034,Moradabad Metal Craft,Brass,Metal Engraving,Large,9.0,1310,85,150,High,Light,North India,4670
SIH-00035,Kalamkari,Cotton,Block Printing,Large,28.3,480,120,135,Medium,Light,South India,7690
SIH-00036,Banarasi,Silk,Handloom Weaving,Standard,101.2,4920,435,335,Medium,Light,North India,31480
SIH-00037,Terracotta,Clay,Hand Moulding,Medium,6.7,140,40,80,Low,Moderate,East India,1460
SIH-00038,Dhokra,Brass,Lost Wax Casting,Medium,23.2,1650,125,180,High,Moderate,Central India,7800
SIH-00039,Channapatna,Wood,Lac Turning,Small,1.6,100,15,20,Low,Standard,South India,500
SIH-00040,Blue Pottery,Ceramic,Glazing,Medium,3.4,370,40,60,Low,Standard,West India,1120
SIH-00041,Blue Pottery,Ceramic,Glazing,Small,2.1,170,25,35,Low,Moderate,West India,770
SIH-00042,Madhubani,Paper,Hand Painting,Small,20.2,160,50,90,Low,High,East India,4130
SIH-00043,Bastar Dhokra,Bell Metal,Lost Wax Casting,Small,10.4,1310,120,210,Low,Standard,Central India,4560
SIH-00044,Blue Pottery,Ceramic,Glazing,Small,1.5,200,20,20,Low,Light,West India,570
SIH-00045,Blue Pottery,Ceramic,Glazing,Medium,3.5,270,30,35,Low,Light,West India,1030
SIH-00046,Pipili Applique,Cotton,Applique,Medium,8.3,310,35,25,Medium,Standard,East India,1700
SIH-00047,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Small,4.3,780,65,50,Low,Moderate,North India,2480
SIH-00048,Pipili Applique,Cotton,Applique,Small,7.8,160,30,25,Low,Standard,East India,1530
SIH-00049,Blue Pottery,Ceramic,Glazing,Small,2.6,190,25,30,Low,Moderate,West India,850
SIH-00050,Kalamkari,Cotton,Block Printing,Large,18.3,710,65,90,High,Moderate,South India,5640
SIH-00051,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Medium,29.1,1060,225,365,Medium,Light,North India,10440
SIH-00052,Dhokra,Brass,Lost Wax Casting,Small,8.5,880,65,115,Low,Standard,Central India,3070
SIH-00053,Blue Pottery,Ceramic,Glazing,Small,1.9,240,30,35,Low,Standard,West India,720
SIH-00054,Moradabad Metal Craft,Brass,Metal Engraving,Large,16.0,2320,260,350,High,Moderate,North India,7240
SIH-00055,Kondapalli Toys,Soft Wood,Hand Painting,Medium,5.5,360,25,45,Medium,Moderate,South India,1490
SIH-00056,Phulkari,Cotton,Hand Embroidery,Standard,34.0,570,135,245,Medium,Standard,North India,9400
SIH-00057,Bastar Dhokra,Bell Metal,Lost Wax Casting,Small,3.1,1420,60,130,Low,Moderate,Central India,3050
SIH-00058,Dhokra,Brass,Lost Wax Casting,Large,14.0,3180,180,335,High,Moderate,Central India,8510
SIH-00059,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Small,14.8,820,140,230,Low,Standard,North India,6260
SIH-00060,Blue Pottery,Ceramic,Glazing,Medium,3.8,260,40,55,Low,Standard,West India,1040
SIH-00061,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Small,12.7,880,90,105,Low,Standard,North India,4150
SIH-00062,Blue Pottery,Ceramic,Glazing,Large,1.6,340,30,30,Medium,Standard,West India,710
SIH-00063,Sandalwood Carving,Sandalwood,Wood Carving,Large,63.4,5450,545,830,High,Light,South India,27490
SIH-00064,Channapatna,Wood,Lac Turning,Medium,2.9,120,20,30,Low,Light,South India,820
SIH-00065,Blue Pottery,Ceramic,Glazing,Small,1.8,240,15,30,Low,Standard,West India,710
SIH-00066,Blue Pottery,Ceramic,Glazing,Medium,2.7,250,25,45,Low,Standard,West India,860
SIH-00067,Sikki Craft,Sikki Grass,Hand Weaving,Medium,5.4,110,35,45,Medium,Standard,East India,1200
SIH-00068,Channapatna,Wood,Lac Turning,Large,4.5,120,15,50,Medium,Standard,South India,1130
SIH-00069,Dhokra,Brass,Lost Wax Casting,Large,25.1,1880,310,375,High,Standard,Central India,9550
SIH-00070,Kondapalli Toys,Soft Wood,Hand Painting,Large,7.0,240,55,30,Medium,Standard,South India,1890
SIH-00071,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Large,21.7,2310,160,220,High,Light,North India,9050
SIH-00072,Terracotta,Clay,Hand Moulding,Large,7.9,210,45,85,Low,Standard,East India,1620
SIH-00073,Channapatna,Wood,Lac Turning,Medium,3.0,130,15,20,Low,Standard,South India,720
SIH-00074,Sandalwood Carving,Sandalwood,Wood Carving,Small,30.5,1690,225,320,Medium,Moderate,South India,12310
SIH-00075,Blue Pottery,Ceramic,Glazing,Large,5.7,250,40,65,Medium,Moderate,West India,1500
SIH-00076,Madhubani,Paper,Hand Painting,Medium,25.3,190,50,90,Low,Standard,East India,4630
SIH-00077,Pipili Applique,Cotton,Applique,Small,7.8,300,20,45,Low,High,East India,2010
SIH-00078,Dhokra,Brass,Lost Wax Casting,Small,3.0,1450,65,75,Low,Standard,Central India,3110
SIH-00079,Blue Pottery,Ceramic,Glazing,Small,2.3,260,30,20,Low,Standard,West India,800
SIH-00080,Madhubani,Paper,Hand Painting,Medium,32.9,280,170,240,Medium,High,East India,9690
SIH-00081,Thanjavur Painting,Wood,Gold Leaf Work,Small,46.2,2210,315,490,Medium,High,South India,19650
SIH-00082,Sandalwood Carving,Sandalwood,Wood Carving,Medium,60.7,2800,420,400,Medium,Standard,South India,20590
SIH-00083,Moradabad Metal Craft,Brass,Metal Engraving,Small,6.4,470,65,90,Low,Light,North India,2350
SIH-00084,Blue Pottery,Ceramic,Glazing,Small,1.2,140,15,20,Low,Standard,West India,430
SIH-00085,Madhubani,Paper,Hand Painting,Large,30.5,260,50,90,Medium,Standard,East India,4760
SIH-00086,Madhubani,Paper,Hand Painting,Large,46.4,330,155,225,High,Light,East India,10140
SIH-00087,Pipili Applique,Cotton,Applique,Large,10.7,450,55,80,High,Standard,East India,2680
SIH-00088,Kondapalli Toys,Soft Wood,Hand Painting,Large,4.0,280,20,40,Medium,Standard,South India,1270
SIH-00089,Blue Pottery,Ceramic,Glazing,Large,5.9,630,55,60,Medium,Moderate,West India,2120
SIH-00090,Terracotta,Clay,Hand Moulding,Small,3.4,110,30,25,Low,Standard,East India,800
SIH-00091,Dhokra,Brass,Lost Wax Casting,Medium,21.8,1660,260,185,Medium,Standard,Central India,9540
SIH-00092,Kutch Embroidery,Cotton,Hand Embroidery,Large,24.8,710,85,140,High,Standard,West India,7560
SIH-00093,Moradabad Metal Craft,Brass,Metal Engraving,Small,8.6,1150,145,200,Low,Standard,North India,4660
