source_id,source_name,source_type,url,access_date,information_used,reliability_level
SRC-GOI-01,"Development Commissioner (Handicrafts), Ministry of Textiles, Govt. of India",Government Official Portal,http://www.handicrafts.nic.in,2026-09-12,"Official national craft registry, artisan clusters, sanctioned craft classifications, state/district craft mappings.",Tier-1 Authoritative Government Source
SRC-GOI-02,"Office of the Development Commissioner for Handlooms, Ministry of Textiles",Government Official Portal,http://www.handlooms.nic.in,2026-09-12,"Handloom clusters, Banarasi, Kanjeevaram, Chanderi, Sambalpuri textile technical specifications, weaver wage guidelines.",Tier-1 Authoritative Government Source
SRC-GOI-03,TRIFED (Tribal Cooperative Marketing Development Federation of India) / Tribes India,Public Sector Enterprise / Ministry of Tribal Affairs,https://tribesindia.com,2026-09-12,"Tribal crafts documentation, Dhokra/Dokra metal casting, Bastar iron craft, bamboo and cane craft catalog, price anchor ranges.",Tier-1 Verified Public Sector Catalog
SRC-GOI-04,"Geographical Indications Registry of India (Controller General of Patents, Designs and Trade Marks)",Statutory Intellectual Property Registry,https://ipindia.gov.in,2026-09-12,"GI tag specifications for Blue Pottery (GI-4), Channapatna Toys (GI-3), Madhubani (GI-105), Tanjore Painting (GI-32), Bidriware (GI-11), etc.",Tier-1 Statutory Legal Registry
SRC-GOI-05,Central Cottage Industries Corporation of India Ltd. (CCIC),Government of India Undertaking (Ministry of Textiles),https://www.cottageemporium.in,2026-09-12,"Authentic retail price benchmarks, material compositions, size/weight specifications for brassware, wood carving, papier-mâché.",Tier-1 Official Government Retail Emporium
SRC-STATE-01,The Rajasthan Small Industries Corporation Ltd. (Rajasthali),State Government Undertaking (Govt. of Rajasthan),http://rajasthali.gov.in,2026-09-12,"Jaipur Blue Pottery, Sanganeri/Bagru block prints, Mojari leathercraft authentic price ranges, artisan cluster details.",Tier-1 State Government Official Board
SRC-STATE-02,Karnataka State Handicrafts Development Corporation Ltd. (Cauvery Handicrafts),State Government Undertaking (Govt. of Karnataka),https://cauveryhandicrafts.net,2026-09-12,"Channapatna lac-turnery toys, Bidriware, Mysore rosewood carving specifications, artisan labor days, price anchor points.",Tier-1 State Government Official Board
SRC-STATE-03,Tamil Nadu Handicrafts Development Corporation Ltd. (Poompuhar),State Government Undertaking (Govt. of Tamil Nadu),https://poompuhar.com,2026-09-12,"Tanjore gold foil paintings, bronze icons, stone carving labor requirements, 22K gold leaf material costs, price benchmarks.",Tier-1 State Government Official Board
SRC-STATE-04,Odisha State Cooperative Handicrafts Corporation (Utkalika),State Cooperative Apex Body (Govt. of Odisha),https://utkalika.odisha.gov.in,2026-09-12,"Raghurajpur Pattachitra on palm leaf/tussar, Dhokra bell metal, stone carving dimensions, artisan skill wage scales.",Tier-1 State Government Official Board
SRC-STATE-05,"Directorate of Handicrafts and Handloom, Govt. of Jammu & Kashmir",State Government Directorate,https://handicrafts.jk.gov.in,2026-09-12,"Kashmiri Papier-Mâché (Sakhtsazi and Naqashi processes), silk/wool knotted carpets knot density and labor hours, Pashmina Shawl metrics.",Tier-1 State Government Official Directorate
SRC-ORG-01,Crafts Council of India (CCI),Apex NGO / UNESCO Accredited Craft Organization,https://craftscouncilofindia.org,2026-09-12,"Field surveys on artisan livelihoods, labor hours, material sourcing constraints, endangered craft documentation.",Tier-2 Reputable Non-Governmental Craft Authority
SRC-DATA-01,Open Government Data (OGD) Platform India (data.gov.in),Government Open Data Platform,https://data.gov.in,2026-09-12,"Census of Handicraft Artisans, state-wise export turnover, minimum artisan wage rate benchmarks.",Tier-1 Open Government Data Repository
