record_id,product,category,subcategory,craft,material,technique,state,region,size,price,data_type,generation_method,calibration_source,generated_at,dataset_version
SIH-00001,Madhubani Painting,Painting,Folk Painting,Madhubani,Paper,Hand Painting,Bihar,East India,Large,9560,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00002,Pashmina Shawl,Textiles,Shawl,Pashmina,Pashmina Wool,Hand Embroidery,Jammu and Kashmir,North India,Standard,35840,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00003,Kondapalli Doll,Toys,Wooden Toys,Kondapalli Toys,Soft Wood,Hand Painting,Andhra Pradesh,South India,Large,1970,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00004,Blue Pottery Plate,Tableware,Pottery,Blue Pottery,Ceramic,Glazing,Rajasthan,West India,Medium,750,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00005,Thanjavur Painting,Painting,Traditional Painting,Thanjavur Painting,Wood,Gold Leaf Work,Tamil Nadu,South India,Medium,21920,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00006,Sandalwood Carving,Home Decor,Wood Craft,Sandalwood Carving,Sandalwood,Wood Carving,Karnataka,South India,Small,11560,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00007,Kondapalli Doll,Toys,Wooden Toys,Kondapalli Toys,Soft Wood,Hand Painting,Andhra Pradesh,South India,Large,2780,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00008,Pashmina Shawl,Textiles,Shawl,Pashmina,Pashmina Wool,Hand Embroidery,Jammu and Kashmir,North India,Standard,35850,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00009,Kalamkari Wall Art,Painting,Textile Painting,Kalamkari,Cotton,Block Printing,Andhra Pradesh,South India,Small,2070,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00010,Phulkari Dupatta,Textiles,Embroidery,Phulkari,Cotton,Hand Embroidery,Punjab,North India,Standard,6830,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00011,Kutch Embroidery Bag,Fashion,Bags,Kutch Embroidery,Cotton,Hand Embroidery,Gujarat,West India,Small,6320,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00012,Pashmina Shawl,Textiles,Shawl,Pashmina,Pashmina Wool,Hand Embroidery,Jammu and Kashmir,North India,Standard,62560,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00013,Bastar Bell Metal Figure,Home Decor,Metal Craft,Bastar Dhokra,Bell Metal,Lost Wax Casting,Chhattisgarh,Central India,Medium,7190,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00014,Pipili Applique Wall Hanging,Home Decor,Textile Craft,Pipili Applique,Cotton,Applique,Odisha,East India,Large,3370,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00015,Sandalwood Carving,Home Decor,Wood Craft,Sandalwood Carving,Sandalwood,Wood Carving,Karnataka,South India,Small,9180,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00016,Dhokra Figurine,Home Decor,Metal Craft,Dhokra,Brass,Lost Wax Casting,Chhattisgarh,Central India,Large,5940,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00017,Kalamkari Wall Art,Painting,Textile Painting,Kalamkari,Cotton,Block Printing,Andhra Pradesh,South India,Large,5370,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00018,Sikki Grass Basket,Home Decor,Natural Fibre,Sikki Craft,Sikki Grass,Hand Weaving,Bihar,East India,Small,950,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00019,Pashmina Shawl,Textiles,Shawl,Pashmina,Pashmina Wool,Hand Embroidery,Jammu and Kashmir,North India,Standard,38500,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00020,Sikki Grass Basket,Home Decor,Natural Fibre,Sikki Craft,Sikki Grass,Hand Weaving,Bihar,East India,Medium,1070,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00021,Pipili Applique Wall Hanging,Home Decor,Textile Craft,Pipili Applique,Cotton,Applique,Odisha,East India,Medium,1640,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00022,Kashmir Walnut Box,Home Decor,Wood Craft,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Jammu and Kashmir,North India,Medium,11520,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00023,Madhubani Painting,Painting,Folk Painting,Madhubani,Paper,Hand Painting,Bihar,East India,Large,13410,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00024,Channapatna Wooden Toy,Toys,Wooden Toys,Channapatna,Wood,Lac Turning,Karnataka,South India,Medium,1000,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00025,Banarasi Silk Saree,Textiles,Saree,Banarasi,Silk,Handloom Weaving,Uttar Pradesh,North India,Standard,35990,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00026,Blue Pottery Vase,Home Decor,Pottery,Blue Pottery,Ceramic,Glazing,Rajasthan,West India,Small,760,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00027,Phulkari Dupatta,Textiles,Embroidery,Phulkari,Cotton,Hand Embroidery,Punjab,North India,Standard,7190,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00028,Kalamkari Wall Art,Painting,Textile Painting,Kalamkari,Cotton,Block Printing,Andhra Pradesh,South India,Large,5520,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00029,Pipili Applique Wall Hanging,Home Decor,Textile Craft,Pipili Applique,Cotton,Applique,Odisha,East India,Large,1920,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00030,Pipili Applique Wall Hanging,Home Decor,Textile Craft,Pipili Applique,Cotton,Applique,Odisha,East India,Small,1090,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00031,Pashmina Shawl,Textiles,Shawl,Pashmina,Pashmina Wool,Hand Embroidery,Jammu and Kashmir,North India,Standard,44050,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00032,Kondapalli Doll,Toys,Wooden Toys,Kondapalli Toys,Soft Wood,Hand Painting,Andhra Pradesh,South India,Small,700,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00033,Madhubani Painting,Painting,Folk Painting,Madhubani,Paper,Hand Painting,Bihar,East India,Small,3570,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00034,Moradabad Brass Lamp,Lighting,Metalware,Moradabad Metal Craft,Brass,Metal Engraving,Uttar Pradesh,North India,Large,4670,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00035,Kalamkari Wall Art,Painting,Textile Painting,Kalamkari,Cotton,Block Printing,Andhra Pradesh,South India,Large,7690,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00036,Banarasi Silk Saree,Textiles,Saree,Banarasi,Silk,Handloom Weaving,Uttar Pradesh,North India,Standard,31480,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00037,Terracotta Decorative Pot,Home Decor,Pottery,Terracotta,Clay,Hand Moulding,West Bengal,East India,Medium,1460,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00038,Dhokra Figurine,Home Decor,Metal Craft,Dhokra,Brass,Lost Wax Casting,Chhattisgarh,Central India,Medium,7800,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00039,Channapatna Wooden Toy,Toys,Wooden Toys,Channapatna,Wood,Lac Turning,Karnataka,South India,Small,500,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00040,Jaipur Blue Pottery Bowl,Tableware,Pottery,Blue Pottery,Ceramic,Glazing,Rajasthan,West India,Medium,1120,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00041,Blue Pottery Vase,Home Decor,Pottery,Blue Pottery,Ceramic,Glazing,Rajasthan,West India,Small,770,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00042,Madhubani Painting,Painting,Folk Painting,Madhubani,Paper,Hand Painting,Bihar,East India,Small,4130,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00043,Bastar Bell Metal Figure,Home Decor,Metal Craft,Bastar Dhokra,Bell Metal,Lost Wax Casting,Chhattisgarh,Central India,Small,4560,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
SIH-00044,Jaipur Blue Pottery Bowl,Tableware,Pottery,Blue Pottery,Ceramic,Glazing,Rajasthan,West India,Small,570,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final
